Time	Day of Week	Probe speed 	Probe flow 1	TPM speed 	TPM flow 	Sensor speed 	Sensor flow 				
1/7/2019 0:00	1	69.2	132	75.79	63	74.33	62				
1/7/2019 0:05	1	70.8	132	75.79	67	75.70	68				
1/7/2019 0:10	1	71.8	132	75.77	54	77.48	53				
1/7/2019 0:15	1	64.5	114	75.75	49	74.13	48				
1/7/2019 0:20	1	59.6	114	75.72	42	74.75	44				
1/7/2019 0:25	1	52.8	114	75.70	49	75.50	50				
1/7/2019 0:30	1	59.9	100	75.68	49	72.15	48				
1/7/2019 0:35	1	67.6	100	75.66	42	77.45	41				
1/7/2019 0:40	1	67.6	100	75.21	56	77.50	57				
1/7/2019 0:45	1	67.4	87	74.78	36	73.80	34				
1/7/2019 0:50	1	64.5	87	74.32	36	72.90	36				
1/7/2019 0:55	1	64.4	87	74.10	28	74.78	27				 
1/7/2019 1:00	1	64.8	77	73.36	27	74.48	28				
1/7/2019 1:05	1	64.9	77	72.89	36	76.30	37				
1/7/2019 1:10	1	65.2	77	72.89	28	76.98	23				
1/7/2019 1:15	1	65.3	73	73.27	45	74.70	31				
1/7/2019 1:20	1	65.1	73	73.82	45	73.93	33				
1/7/2019 1:25	1	65.1	73	74.36	42	73.50	22				
1/7/2019 1:30	1	60.9	68	74.23	36	70.40	37				
1/7/2019 1:35	1	66.4	68	73.89	33	71.78	20				
1/7/2019 1:40	1	65.5	68	73.14	31	70.00	28				
1/7/2019 1:45	1	63.7	64	73.15	33	70.23	26				
1/7/2019 1:50	1	64.1	64	73.34	32	67.63	20				
1/7/2019 1:55	1	64.5	64	73.54	31	66.33	23				
1/7/2019 2:00	1	64.8	59	73.29	28	67.35	20				
1/7/2019 2:05	1	66.7	59	72.71	25	67.98	29				
1/7/2019 2:10	1	62.5	59	72.20	25	57.20	26				
1/7/2019 2:15	1	46.3	55	72.17	24	56.38	20				
1/7/2019 2:20	1	44.8	55	71.15	21	61.58	27				
1/7/2019 2:25	1	44.8	55	70.49	21	58.38	20				
1/7/2019 2:30	1	44.8	55	69.66	20	63.08	24				
1/7/2019 2:35	1	47.9	55	68.60	19	61.18	16				
1/7/2019 2:40	1	50.1	55	67.65	19	61.80	26				
1/7/2019 2:45	1	68.1	50	67.11	20	61.55	32				
1/7/2019 2:50	1	70.7	50	65.99	19	61.05	23				
1/7/2019 2:55	1	70.7	50	64.85	19	62.10	17				
1/7/2019 3:00	1	65	50	64.08	19	61.68	24				
1/7/2019 3:05	1	63.1	50	63.67	19	59.25	23				
1/7/2019 3:10	1	65.8	50	63.42	20	59.55	21				
1/7/2019 3:15	1	61.2	50	63.28	19	53.98	23				
1/7/2019 3:20	1	61.3	50	62.81	18	57.25	53				
1/7/2019 3:25	1	48.3	50	62.27	17	62.33	36				
1/7/2019 3:30	1	56.1	55	61.51	17	61.35	44				
1/7/2019 3:35	1	57.8	55	60.71	17	62.35	30				
1/7/2019 3:40	1	59.5	55	60.17	17	61.43	26				
1/7/2019 3:45	1	59.8	59	59.95	18	61.15	28				
1/7/2019 3:50	1	56.8	59	59.91	19	59.83	72				
1/7/2019 3:55	1	48.5	59	59.88	20	64.75	71				
1/7/2019 4:00	1	56.7	64	59.78	22	65.38	40				
1/7/2019 4:05	1	58.5	64	59.64	24	67.75	44				
1/7/2019 4:10	1	60	64	59.54	27	68.30	65				
1/7/2019 4:15	1	58.4	82	59.43	29	66.75	67				
