Time	Day of Week	Probe speed 	Probe flow 1	TPM speed 	TPM flow 	Sensor speed 	Sensor flow 
1/7/2019 0:00	1	69.4	37	75.75	22	73.00	24
1/7/2019 0:05	1	69.4	37	75.75	17	76.90	15
1/7/2019 0:10	1	71.4	37	75.70	20	74.40	22
1/7/2019 0:15	1	71.1	33	75.64	27	74.00	29
1/7/2019 0:20	1	70.2	33	75.59	23	76.70	24
1/7/2019 0:25	1	70.7	33	75.53	15	72.40	15
1/7/2019 0:30	1	70.6	30	75.48	17	73.90	19
1/7/2019 0:35	1	69.3	30	75.43	13	72.30	15
1/7/2019 0:40	1	65.7	30	75.37	16	73.40	17
1/7/2019 0:45	1	63.8	26	74.91	15	73.80	14
1/7/2019 0:50	1	64.9	26	75.07	17	73.60	16
1/7/2019 0:55	1	66.1	26	75.74	15	73.00	14
1/7/2019 1:00	1	70.7	24	76.12	10	62.10	9
1/7/2019 1:05	1	70.4	24	77.28	11	75.30	7
1/7/2019 1:10	1	69.9	24	78.03	25	78.60	12
1/7/2019 1:15	1	69.8	23	76.78	16	72.40	8
1/7/2019 1:20	1	69.8	23	75.45	11	70.00	13
1/7/2019 1:25	1	68.3	23	74.88	11	70.00	14
1/7/2019 1:30	1	67.1	21	74.40	15	74.80	11
1/7/2019 1:35	1	67.1	21	74.00	14	72.40	14
1/7/2019 1:40	1	67.1	21	73.15	12	73.40	21
1/7/2019 1:45	1	67	21	71.48	12	68.00	16
1/7/2019 1:50	1	60.1	21	70.38	12	71.30	13
1/7/2019 1:55	1	55.4	21	70.47	12	74.70	7
1/7/2019 2:00	1	55.4	21	71.42	11	66.40	11
1/7/2019 2:05	1	55.4	21	72.19	13	72.30	8
1/7/2019 2:10	1	55.6	21	72.47	13	67.10	13
1/7/2019 2:15	1	55.9	21	73.02	12	68.00	15
1/7/2019 2:20	1	63.2	21	73.47	12	71.90	9
1/7/2019 2:25	1	67.1	21	73.23	12	65.00	11
1/7/2019 2:30	1	66.8	21	72.54	11	68.50	8
1/7/2019 2:35	1	65.6	21	71.62	11	64.00	22
1/7/2019 2:40	1	65.6	21	70.98	10	64.30	8
1/7/2019 2:45	1	65.6	21	70.70	11	61.70	10
1/7/2019 2:50	1	64.6	21	70.10	11	64.40	12
1/7/2019 2:55	1	65.6	21	69.61	11	73.10	16
1/7/2019 3:00	1	65.7	21	69.51	11	66.70	16
1/7/2019 3:05	1	65.7	21	70.01	12	68.70	13
1/7/2019 3:10	1	66.3	21	70.96	10	69.80	14
