Time	Flow (Veh/5 Minutes)	Speed (mph)
1/7/2019 0:00	64	70.75
1/7/2019 0:05	72	72.8
1/7/2019 0:10	47	75.3
1/7/2019 0:15	44	73.8
1/7/2019 0:20	43	72.325
1/7/2019 0:25	49	72.85
1/7/2019 0:30	47	69.825
1/7/2019 0:35	44	71.7
1/7/2019 0:40	53	75.175
1/7/2019 0:45	38	73.9
1/7/2019 0:50	37	73
1/7/2019 0:55	28	72.125
1/7/2019 1:00	33	70.8
1/7/2019 1:05	40	73.975
1/7/2019 1:10	24	71.275
1/7/2019 1:15	32	73.3
1/7/2019 1:20	35	70.95
1/7/2019 1:25	25	72.275
1/7/2019 1:30	36	69.2
1/7/2019 1:35	16	69.425
1/7/2019 1:40	26	69.225
1/7/2019 1:45	28	68.125
1/7/2019 1:50	20	70.625
1/7/2019 1:55	27	67.825
1/7/2019 2:00	20	64.325
1/7/2019 2:05	35	62.75
1/7/2019 2:10	25	55.175
1/7/2019 2:15	22	52.425
1/7/2019 2:20	28	58.95
1/7/2019 2:25	21	55.8
1/7/2019 2:30	28	60.55
1/7/2019 2:35	20	57
1/7/2019 2:40	27	61.05
1/7/2019 2:45	31	60.475
1/7/2019 2:50	27	57.35
1/7/2019 2:55	16	47.175
1/7/2019 3:00	25	57.875
1/7/2019 3:05	31	56.575
1/7/2019 3:10	27	55.975
1/7/2019 3:15	25	50.95
1/7/2019 3:20	53	55.125
1/7/2019 3:25	37	59.15
1/7/2019 3:30	47	59.75
1/7/2019 3:35	37	60.225
1/7/2019 3:40	27	61.6
1/7/2019 3:45	26	58.425
1/7/2019 3:50	67	55.425
1/7/2019 3:55	67	60.775
1/7/2019 4:00	54	60.975
1/7/2019 4:05	38	64.725
1/7/2019 4:10	54	66.55
1/7/2019 4:15	77	64.225
1/7/2019 4:20	84	64.375
1/7/2019 4:25	81	62.475
1/7/2019 4:30	90	65.25
1/7/2019 4:35	86	65.75
1/7/2019 4:40	115	64.5
1/7/2019 4:45	116	65.725
1/7/2019 4:50	116	65.325
1/7/2019 4:55	107	67.675
1/7/2019 5:00	101	67.6
1/7/2019 5:05	131	68.15
1/7/2019 5:10	143	68.025
1/7/2019 5:15	207	67.3
1/7/2019 5:20	202	67.85
1/7/2019 5:25	222	66.975
1/7/2019 5:30	264	67.05
1/7/2019 5:35	270	66.075
1/7/2019 5:40	299	66.1
1/7/2019 5:45	311	67
1/7/2019 5:50	331	66.275
1/7/2019 5:55	365	65.975
1/7/2019 6:00	352	66.2
1/7/2019 6:05	377	65.075
1/7/2019 6:10	412	62.25
