Time	Flow (Veh/5 Minutes)	Speed (mph)
1/7/2019 0:00	22	73.00
1/7/2019 0:05	23	78.50
1/7/2019 0:10	29	76.80
1/7/2019 0:15	30	76.30
1/7/2019 0:20	22	74.30
1/7/2019 0:25	18	77.10
1/7/2019 0:30	27	75.20
1/7/2019 0:35	17	74.20
1/7/2019 0:40	18	76.00
1/7/2019 0:45	28	72.40
1/7/2019 0:50	25	73.60
1/7/2019 0:55	19	68.70
1/7/2019 1:00	17	65.50
1/7/2019 1:05	13	71.80
1/7/2019 1:10	13	72.00
1/7/2019 1:15	12	72.70
1/7/2019 1:20	23	69.80
1/7/2019 1:25	16	72.20
1/7/2019 1:30	20	71.80
1/7/2019 1:35	23	67.70
1/7/2019 1:40	26	68.10
1/7/2019 1:45	15	68.90
1/7/2019 1:50	14	68.30
1/7/2019 1:55	18	71.00
1/7/2019 2:00	12	70.50
1/7/2019 2:05	11	66.00
1/7/2019 2:10	20	69.30
1/7/2019 2:15	12	63.30
1/7/2019 2:20	13	66.70
1/7/2019 2:25	9	70.60
1/7/2019 2:30	14	64.90
1/7/2019 2:35	18	65.30
1/7/2019 2:40	14	62.80
1/7/2019 2:45	8	59.20
1/7/2019 2:50	21	65.40
1/7/2019 2:55	28	64.00
1/7/2019 3:00	15	62.60
1/7/2019 3:05	14	64.20
1/7/2019 3:10	25	64.00
1/7/2019 3:15	14	65.30
1/7/2019 3:20	22	63.00
1/7/2019 3:25	32	64.20
1/7/2019 3:30	29	62.00
1/7/2019 3:35	29	61.10
1/7/2019 3:40	39	68.10
1/7/2019 3:45	55	67.80
1/7/2019 3:50	35	64.20
1/7/2019 3:55	52	66.80
1/7/2019 4:00	43	64.40
1/7/2019 4:05	50	67.60
1/7/2019 4:10	46	65.00
1/7/2019 4:15	53	68.20
1/7/2019 4:20	51	68.00
1/7/2019 4:25	70	68.20
1/7/2019 4:30	77	67.50
1/7/2019 4:35	100	69.60
1/7/2019 4:40	104	68.70
1/7/2019 4:45	97	69.60
1/7/2019 4:50	116	70.10
1/7/2019 4:55	106	71.40
1/7/2019 5:00	92	72.00
1/7/2019 5:05	91	73.00
1/7/2019 5:10	132	70.60
1/7/2019 5:15	128	72.50
1/7/2019 5:20	152	72.60
1/7/2019 5:25	196	71.60
1/7/2019 5:30	214	72.10
1/7/2019 5:35	232	72.90
1/7/2019 5:40	328	72.10
1/7/2019 5:45	330	73.10
1/7/2019 5:50	312	72.10
1/7/2019 5:55	272	72.40
1/7/2019 6:00	262	73.50
1/7/2019 6:05	304	72.10
1/7/2019 6:10	329	71.40
1/7/2019 6:15	343	71.80
1/7/2019 6:20	397	70.80
1/7/2019 6:25	422	72.30
1/7/2019 6:30	449	71.10
1/7/2019 6:35	496	70.90
1/7/2019 6:40	538	70.90
1/7/2019 6:45	578	69.50
1/7/2019 6:50	594	70.40
1/7/2019 6:55	542	71.10
1/7/2019 7:00	514	70.50
1/7/2019 7:05	469	71.60
1/7/2019 7:10	504	70.70
1/7/2019 7:15	511	70.20
1/7/2019 7:20	514	70.40
1/7/2019 7:25	542	70.50
1/7/2019 7:30	577	69.90
1/7/2019 7:35	563	71.60
1/7/2019 7:40	611	72.20
1/7/2019 7:45	699	71.80
1/7/2019 7:50	641	72.30
1/7/2019 7:55	691	72.00
1/7/2019 8:00	544	74.30
1/7/2019 8:05	554	74.00
1/7/2019 8:10	532	74.20
1/7/2019 8:15	517	74.70
1/7/2019 8:20	463	74.80
1/7/2019 8:25	538	73.10
1/7/2019 8:30	555	74.40
1/7/2019 8:35	457	75.80
1/7/2019 8:40	477	74.20
1/7/2019 8:45	448	75.20
1/7/2019 8:50	427	75.80
1/7/2019 8:55	446	74.80
1/7/2019 9:00	392	76.10
1/7/2019 9:05	305	76.00
1/7/2019 9:10	357	77.20
1/7/2019 9:15	307	76.10
1/7/2019 9:20	290	75.80
1/7/2019 9:25	292	74.50
1/7/2019 9:30	245	76.30
1/7/2019 9:35	244	76.70
1/7/2019 9:40	258	76.70
1/7/2019 9:45	279	76.80
1/7/2019 9:50	252	76.60
1/7/2019 9:55	235	76.20
1/7/2019 10:00	233	77.30
1/7/2019 10:05	188	76.30
1/7/2019 10:10	199	77.60
1/7/2019 10:15	202	76.90
1/7/2019 10:20	206	77.80
1/7/2019 10:25	171	76.60
1/7/2019 10:30	191	76.60
1/7/2019 10:35	203	76.00
1/7/2019 10:40	183	73.60
1/7/2019 10:45	205	74.60
1/7/2019 10:50	199	75.20
1/7/2019 10:55	169	74.90
1/7/2019 11:00	189	75.60
1/7/2019 11:05	174	75.10
1/7/2019 11:10	218	76.10
1/7/2019 11:15	196	75.90
1/7/2019 11:20	193	76.10
1/7/2019 11:25	166	75.90
1/7/2019 11:30	182	74.90
1/7/2019 11:35	172	76.00
1/7/2019 11:40	200	75.10
1/7/2019 11:45	209	73.70
1/7/2019 11:50	250	72.60
1/7/2019 11:55	224	73.40
1/7/2019 12:00	209	74.20
1/7/2019 12:05	182	73.50
1/7/2019 12:10	187	72.30
1/7/2019 12:15	221	72.50
1/7/2019 12:20	240	71.80
1/7/2019 12:25	207	72.60
1/7/2019 12:30	196	71.40
1/7/2019 12:35	221	70.80
1/7/2019 12:40	215	70.40
1/7/2019 12:45	189	71.00
1/7/2019 12:50	224	72.20
1/7/2019 12:55	215	73.10
1/7/2019 13:00	213	72.20
1/7/2019 13:05	181	73.30
1/7/2019 13:10	223	73.20
1/7/2019 13:15	232	71.70
1/7/2019 13:20	187	72.40
1/7/2019 13:25	227	71.50
1/7/2019 13:30	193	73.20
1/7/2019 13:35	182	73.30
1/7/2019 13:40	207	71.60
1/7/2019 13:45	237	73.30
1/7/2019 13:50	192	74.00
1/7/2019 13:55	221	72.60
1/7/2019 14:00	193	74.00
1/7/2019 14:05	219	73.90
1/7/2019 14:10	246	73.80
1/7/2019 14:15	243	73.20
1/7/2019 14:20	235	72.50
1/7/2019 14:25	206	72.00
1/7/2019 14:30	231	70.80
1/7/2019 14:35	239	71.60
1/7/2019 14:40	267	71.70
1/7/2019 14:45	240	72.30
1/7/2019 14:50	214	72.90
1/7/2019 14:55	251	71.60
1/7/2019 15:00	253	72.60
1/7/2019 15:05	245	73.90
1/7/2019 15:10	278	72.40
1/7/2019 15:15	291	72.80
1/7/2019 15:20	302	74.00
1/7/2019 15:25	282	73.60
1/7/2019 15:30	305	74.50
1/7/2019 15:35	315	74.50
1/7/2019 15:40	277	74.20
1/7/2019 15:45	310	75.00
1/7/2019 15:50	358	74.90
1/7/2019 15:55	322	74.80
1/7/2019 16:00	293	74.20
1/7/2019 16:05	280	73.90
1/7/2019 16:10	353	74.40
1/7/2019 16:15	334	75.00
1/7/2019 16:20	321	74.30
1/7/2019 16:25	331	73.80
1/7/2019 16:30	303	72.10
1/7/2019 16:35	330	72.60
1/7/2019 16:40	363	73.30
1/7/2019 16:45	330	74.00
